_id,courseId,descriptionSize,keyWord,learnerCount,lessonCount,price,productName,score,source
5c9f927f13ba61f2f0673c15,1209092816,68,深度学习,285.0,24.0,1.0,深度学习与TensorFlow实战,4.9,study.163.com
5c9f927f13ba61f2f0673c17,1006457030,177,深度学习,3.0,390.0,899.0,深度学习,4.4,study.163.com
5c9f927f13ba61f2f0673c19,1006460030,153,机器学习,4.0,394.0,899.0,机器学习,4.4,study.163.com
5c9f927f13ba61f2f0673c1b,1006487017,416,人工智能,52.0,10.0,0.0,大数据宣传课程(入行必看),4.4,study.163.com
5c9f927f13ba61f2f0673c1d,1006498024,511,深度学习,524.0,11.0,899.0,深度学习：算法到实战,4.7,study.163.com
5c9f927f13ba61f2f0673c1f,1208935837,97,机器学习,4.0,53.0,399.0,机器学习的数学基础,4.4,study.163.com
5c9f927f13ba61f2f0673c21,1208945845,261,深度学习,241.0,20.0,0.0,20天学会深度学习框架PyTorch,4.6,study.163.com
5c9f927f13ba61f2f0673c23,1005266053,404,深度学习,321.0,10.0,0.0,人工智能入门-深度学习精华实践,4.4,study.163.com
5c9f927f13ba61f2f0673c25,1005271008,518,人工智能,292.0,5.0,0.0,人工智能Python入门，语法基础,4.5,study.163.com
5c9f927f13ba61f2f0673c27,1005751009,123,人工智能,3.0,4.0,99.0,Hadoop系列-HDFS分布式文件系统,4.4,study.163.com
5c9f927f13ba61f2f0673c29,1006185120,68,机器学习,477.0,69.0,0.0,机器学习中的数学基础,4.6,study.163.com
5c9f927f13ba61f2f0673c2b,1005086017,85,人工智能,14.0,5.0,79.0,搭建基于CNN的图像识别系统,4.0,study.163.com
5c9f927f13ba61f2f0673c2d,1005087012,94,深度学习,6.0,5.0,69.0,深度学习与数字识别系统搭建,4.4,study.163.com
5c9f927f13ba61f2f0673c2f,1005166001,205,人工智能,7.0,7.0,19.0,数据产品理论框架与实践-系统教程,4.4,study.163.com
5c9f927f13ba61f2f0673c31,1005377003,151,深度学习,38.0,26.0,69.99,从简到繁再到简的CNN网络综述,4.4,study.163.com
5c9f927f13ba61f2f0673c33,1005567015,164,深度学习,24.0,15.0,69.99,从入门到实战RNN深度网络,4.0,study.163.com
5c9f927f13ba61f2f0673c35,1003798004,388,机器学习,539.0,10.0,39.0,迈向深度学习卷积神经网络-第九课,4.6,study.163.com
5c9f927f13ba61f2f0673c37,1006089139,507,数据分析,270.0,40.0,199.0,R语言数据分析与数据挖掘,4.8,study.163.com
5c9f927f13ba61f2f0673c39,1006378107,288,人工智能,135.0,66.0,269.0,年薪60W的Hadoop大数据开发实战,3.9,study.163.com
5c9f927f13ba61f2f0673c3b,1006382104,82,人工智能,2.0,119.0,499.0,AI领域的Python核心编程,4.4,study.163.com
5c9f927f13ba61f2f0673c3d,1006527044,125,人工智能,1.0,70.0,99.0,详解支持向量机,3.0,study.163.com
5c9f927f13ba61f2f0673c3f,1208894818,490,深度学习,1623.0,127.0,499.0,深度学习与PyTorch入门实战教程,4.9,study.163.com
5c9f927f13ba61f2f0673c41,1005117004,615,深度学习,6.0,4.0,2499.0,深度学习专业班,4.4,study.163.com
5c9f927f13ba61f2f0673c43,1005170036,171,人工智能,854.0,3.0,0.0,产品经理 为什么三年你还在画原型,3.8,study.163.com
5c9f927f13ba61f2f0673c45,1005264029,250,人工智能,58.0,33.0,680.0,为前端而生的tensorflow.js,4.6,study.163.com
5c9f927f13ba61f2f0673c47,1005271025,559,人工智能,88.0,9.0,39.8,Jupyter notebook精通快速教程,4.6,study.163.com
5c9f927f13ba61f2f0673c49,1005083008,81,人工智能,30.0,6.0,59.0,TensorFlow 用单个神经元识别数字,4.4,study.163.com
5c9f92f213ba61f2f0673c6f,1006546001,512,数据分析,12.0,19.0,399.0,大数据新零售数据分析实战,4.4,study.163.com
5c9f92f213ba61f2f0673c71,1005836013,437,大数据,315.0,190.0,599.0,【企业级】大数据项目实战 (二),4.9,study.163.com
5c9f92f213ba61f2f0673c73,1006287007,539,大数据,126.0,236.0,299.0,【就业课】大数据+项目实战,4.8,study.163.com
5c9f92f213ba61f2f0673c76,1006396020,208,大数据,59.0,79.0,199.0,Kylin大数据实战学习教程,4.5,study.163.com
5c9f92f213ba61f2f0673c78,1006494012,308,大数据,26.0,58.0,266.0,大数据处理Spark理论和实战结合,3.0,study.163.com
5c9f92f213ba61f2f0673c7a,1006498027,410,大数据,27.0,9.0,189.0,大数据流式处理技术完整精品课程,4.4,study.163.com
5c9f92f213ba61f2f0673c7c,1006498030,351,数据分析,13.0,12.0,189.0,大数据平台详细介绍,4.4,study.163.com
5c9f92f213ba61f2f0673c7e,1208874825,207,大数据,437.0,41.0,0.0,大数据Scala精讲从入门视频,4.8,study.163.com
5c9f92f213ba61f2f0673c80,1208877826,207,大数据,283.0,10.0,0.0,大数据Redis入门到精通课程视频,4.7,study.163.com
5c9f92f213ba61f2f0673c82,1208881825,207,大数据,85.0,9.0,0.0,大数据之JavaSE算法视频精讲,4.8,study.163.com
5c9f92f213ba61f2f0673c84,1208881829,207,大数据,163.0,5.0,0.0,大数据之Python基础精讲视频,4.8,study.163.com
5c9f92f213ba61f2f0673c86,1208885809,207,数据分析,437.0,15.0,0.0,大数据分析Kettle精讲视频,4.7,study.163.com
5c9f92f213ba61f2f0673c88,1208885829,207,大数据,53.0,36.0,0.0,大数据Linux精讲全集视频,4.6,study.163.com
5c9f92f213ba61f2f0673c8a,1208887825,207,大数据,41.0,15.0,0.0,大数据Mybatis零基础入门视频,4.6,study.163.com
5c9f92f213ba61f2f0673c8c,1208888815,207,数据分析,19.0,19.0,0.0,大数据分析oracle进阶增强教程,4.5,study.163.com
5c9f92f213ba61f2f0673c8e,1208888820,207,数据分析,65.0,19.0,0.0,大数据分析informatic精讲视频,4.6,study.163.com
5c9f92f213ba61f2f0673c90,1208888833,207,大数据,20.0,12.0,0.0,大数据基础HTML+CSS入门详解视频,4.5,study.163.com
5c9f92f213ba61f2f0673c92,1208889827,207,大数据,192.0,12.0,0.0,大数据zookeeper精讲视频课程,4.6,study.163.com
5c9f92f213ba61f2f0673c94,1208889830,207,大数据,29.0,14.0,0.0,大数据JS零基础视频教程,4.6,study.163.com
5c9f92f213ba61f2f0673c96,1208891808,207,数据分析,716.0,26.0,0.0,大数据分析Tableau入门基础教程,4.7,study.163.com
5c9f92f213ba61f2f0673c98,1208891815,207,大数据,23.0,8.0,0.0,大数据Jbdc零基础视频教程,4.6,study.163.com
5c9f92f213ba61f2f0673c9a,1208893808,207,数据分析,61.0,15.0,0.0,大数据分析Oracle基础进阶视频,4.7,study.163.com
5c9f92f213ba61f2f0673c9c,1208907802,207,大数据,42.0,19.0,0.0,大数据Django实战讲解视频,4.5,study.163.com
5c9f92f213ba61f2f0673c9e,1005401002,538,大数据,1.0,22.0,599.0,大数据日志传输之Kafka实战,4.4,study.163.com
5c9f92f213ba61f2f0673ca0,1005538038,39,大数据,0.0,5.0,99.0,大数据深度实战：色情识别技术,4.4,study.163.com
5c9f92f213ba61f2f0673ca2,1004355001,79,大数据,1966.0,1.0,0.0,大数据精品公开课,4.3,study.163.com
5c9f92f213ba61f2f0673ca4,1004601003,149,大数据,1258.0,8.0,0.0,大数据Python循环控制视频课程,4.5,study.163.com
5c9f92f213ba61f2f0673ca6,1004638003,149,大数据,300.0,4.0,0.0,大数据Hadoop精讲课程视频,4.7,study.163.com
5c9f92f213ba61f2f0673ca8,1004656007,149,大数据,320.0,3.0,0.0,【大数据实战】学员项目答辩（一）,4.6,study.163.com
5c9f92f213ba61f2f0673caa,1004713001,409,大数据,1189.0,24.0,0.0,大数据Python入门视频教程,4.7,study.163.com
5c9f92f213ba61f2f0673cac,1006422041,571,大数据,161.0,50.0,399.0,BAT大数据电商用户画像实战,4.3,study.163.com
