_id,courseId,descriptionSize,keyWord,learnerCount,productDifficultyLevel,productName,score,source,time
5c9fb4cf13ba61f2f06751f6,s12n~e3wiTwXMEeim8hI7AVpI6A,526,ai,68994.0,Beginner,Mathematics for Machine Learning,4.560054907343857,coursera.org,
5c9fb4d313ba61f2f06751f9,s12n~dwzq23ZLEei12goo904QNg,277,ai,109293.0,Beginner,IBM Data Science Professional Certificate,4.621533112315032,coursera.org,
5c9fb4d813ba61f2f06751fc,course~Jy5wosZpEeerGhJkyskCRg,606,ai,442.0,Beginner,How Entrepreneurs in Emerging Markets can master the Blockchain Technology,5.0,coursera.org,12.0
5c9fb4dc13ba61f2f06751fe,course~qxpmIMk9EeWfkQ5lkPEvxw,662,ai,23205.0,Mixed,Pattern Discovery in Data Mining,4.230337078651686,coursera.org,16.0
5c9fb4e013ba61f2f0675201,course~iTTT7Gj_EeifGg4pPObuXA,690,ai,716.0,Intermediate,How Google does Machine Learning en Español,4.826086956521739,coursera.org,11.0
5c9fb4e513ba61f2f0675204,course~M5IS7Pw3EeW3kAo3Iffzfw,190,ai,5778.0,Beginner,Finding Mutations in DNA and Proteins (Bioinformatics VI),4.542857142857143,coursera.org,18.0
5c9fb4e913ba61f2f0675207,course~VAHOz6ZMEeiL8hKwqznX5g,594,ai,15.0,Intermediate,Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform en Español,5.0,coursera.org,6.0
5c9fb4ec13ba61f2f067520a,course~voUQTv9AEeaBXg46-AuF8A,115,big data,15246.0,Intermediate,Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform,4.523028883684622,coursera.org,8.0
5c9fb4f013ba61f2f067520c,course~cS_C5UgCEeimMA5aS6rd2g,115,big data,6259.0,Intermediate,Feature Engineering,4.446685878962536,coursera.org,10.0
5c9fb4f413ba61f2f067520f,course~Y23EubLbEeiKUAqNzm0xRA,115,ai,1636.0,Advanced,Image Understanding with TensorFlow on GCP,4.639344262295082,coursera.org,10.0
